x,y,u,v,p,T
0.790155,-0.612907,-0.612907,-0.790155,0.937247,0
0.809017,-0.587785,-0.587785,-0.809017,0.962765,0
0.827081,-0.562083,-0.562083,-0.827081,0.988446,0
0.844328,-0.535827,-0.535827,-0.844328,1.01595,0
0.860742,-0.509041,-0.509041,-0.860742,1.04422,0
0.876307,-0.481754,-0.481754,-0.876307,1.07235,0
0.891007,-0.45399,-0.45399,-0.891007,1.10243,0
0.904827,-0.425779,-0.425779,-0.904827,1.13359,0
0.917755,-0.397148,-0.397148,-0.917755,1.16588,0
0.929776,-0.368125,-0.368125,-0.929776,1.19755,0
0.940881,-0.338738,-0.338738,-0.940881,1.23283,0
0.951057,-0.309017,-0.309017,-0.951057,1.27174,0
0.960294,-0.278991,-0.278991,-0.960294,1.30813,0
0.968583,-0.24869,-0.24869,-0.968583,1.34638,0
0.975917,-0.218143,-0.218143,-0.975917,1.38474,0
0.982287,-0.187381,-0.187381,-0.982287,1.42371,0
0.987688,-0.156434,-0.156434,-0.987688,1.46315,0
0.992115,-0.125333,-0.125333,-0.992115,1.50324,0
0.995562,-0.0941083,-0.0941083,-0.995562,1.54315,0
0.998027,-0.0627905,-0.0627905,-0.998027,1.58599,0
0.999507,-0.0314108,-0.0314108,-0.999507,1.62734,0
-0.426783,-0.0164129,0.0092957,-0.457686,-1.08904,0.91301
-0.955038,0.193409,0.181375,0.896066,-0.0134258,0.0687225
-0.940606,-0.261648,-0.245473,0.88191,0.0780135,0.0698857
-0.909879,0.343815,0.321399,0.850496,-0.0414332,0.07108
-0.887328,-0.403332,-0.3757,0.826217,0.0875575,0.0771183
-0.85015,0.479405,0.452066,0.801387,-0.00857826,0.0604
-0.971591,0.0458191,0.0425426,0.905543,-0.00618981,0.07571
-0.966746,-0.10775,-0.1004,0.899018,0.0210275,0.0779703
-0.815334,-0.533842,-0.496113,0.757459,0.105598,0.0800616
-0.409229,0.145791,-0.116147,-0.471344,-1.21565,0.898156
-0.410406,-0.145769,0.100666,-0.428361,-0.96628,0.92304
-0.761132,0.609912,0.573167,0.714833,0.0146817,0.0597825
-0.71848,-0.656997,-0.607655,0.664333,0.115371,0.086
-0.370988,0.273288,-0.221395,-0.453394,-1.20437,0.85621
-0.297221,0.381799,-0.317985,-0.41089,-1.12025,0.866671
-0.366503,-0.269317,0.183537,-0.388235,-0.860659,0.933713
-0.275731,-0.405825,0.276161,-0.324604,-0.757023,0.947781
-0.506917,0.830147,0.766124,0.46708,0.164624,0.0603746
-0.65462,0.719418,0.668802,0.607893,0.0498366,0.0637368
-0.455274,-0.857405,-0.783419,0.41587,0.129959,0.102185
-0.609192,-0.760047,-0.703109,0.563467,0.135867,0.0872316
-0.377941,0.898099,0.827056,0.347274,0.30593,0.0539913
-0.23231,0.455999,-0.378769,-0.358058,-0.931237,0.848282
-0.211942,-0.475515,0.310695,-0.270135,-0.687858,0.945643
-0.127855,-0.539218,0.341812,-0.208999,-0.61463,0.947595
-0.0986489,0.550661,-0.444972,-0.243461,-0.499758,0.841248
-0.31984,-0.922548,-0.858464,0.297586,0.199143,0.0849874
-0.0392305,-0.577303,0.381622,-0.159077,-0.564197,0.960949
-0.256857,0.9378,0.851324,0.232193,0.424957,0.0556674
-0.10614,0.965516,0.863833,0.0939246,0.608964,0.0542326
